d,payloadB,lanes,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
3.0,132,,,c78 d=3 soak,1785286908271,1785287003448,122,70.6,0.683,100,100,1.0,104,156,135,55.1,1.81,239.6,430.5,3.26,-58.2,4.1,-57.4,4.3,1.75,1.66,1.9,2.59,28,4,2,1,4
3.0,132,,,c79 d=3 soak,1785287003448,1785287098598,125,73.8,0.694,100,100,1.0,100,142,144,55.1,1.81,239.5,431.9,3.27,-58.8,4.4,-55.6,2.1,1.74,1.68,1.95,2.6,28,4,2,1,3
3.0,132,,,c80 d=3 soak,1785287098598,1785287193797,120,70.6,0.651,100,100,1.0,112,184,146,55.1,1.82,239.7,433.3,3.28,-57.9,4.4,-56.2,0.7,1.63,1.58,1.84,2.61,30,4,2,1,3
3.0,132,,,c81 d=3 soak,1785287193797,1785287288988,127,75.6,0.683,100,100,1.0,96,159,132,54.0,1.85,244.2,433.3,3.28,-57.7,5.6,-55.4,2.1,2.29,2.24,2.48,3.18,28,4,2,1,3
3.0,132,,,c82 d=3 soak,1785287288988,1785287384200,122,70.6,0.662,100,100,1.0,122,160,141,54.1,1.85,244.0,431.9,3.27,-58.2,4.1,-59.2,3.3,2.36,2.27,2.6,3.65,30,4,2,1,3
3.0,132,,,c83 d=3 soak,1785287384200,1785287479400,122,70.6,0.662,100,100,1.0,116,157,143,55.1,1.82,239.6,433.3,3.28,-58.7,3.9,-56.3,3.1,1.56,1.46,1.74,2.63,28,4,2,1,3
3.0,132,,,c84 d=3 soak,1785287479400,1785287574588,121,71.9,0.683,100,100,1.0,110,169,140,54.1,1.85,244.2,430.5,3.26,-58.8,4.1,-56.7,0.5,2.2,2.13,2.37,3.14,30,4,2,1,3
3.0,132,,,c85 d=3 soak,1785287574588,1785287669741,119,70.0,0.673,100,100,1.0,118,170,158,54.1,1.85,243.8,430.5,3.26,-58.2,4.2,-57.0,3.4,1.99,1.94,2.16,3.13,28,4,2,1,3
3.0,132,,,c86 d=3 soak,1785287669741,1785287764977,124,72.5,0.704,100,100,1.0,118,171,146,55.1,1.81,239.4,430.5,3.26,-58.5,4.2,-56.3,3.1,1.36,1.3,1.51,2.63,32,4,2,1,3
3.0,132,,,c87 d=3 soak,1785287764977,1785287860167,126,74.4,0.683,100,100,1.0,122,169,148,54.1,1.85,244.2,430.5,3.26,-58.8,4.3,-56.1,2.9,2.13,2.09,2.31,3.13,28,4,2,1,3
3.0,132,,,c88 d=3 soak,1785287860167,1785287955443,121,71.8,0.682,100,100,1.0,108,178,138,53.1,1.88,248.7,430.5,3.26,-58.1,3.9,-59.4,4.5,3.71,3.63,3.86,4.65,30,4,2,1,3
3.0,132,,,c89 d=3 soak,1785287955443,1785288050612,123,73.1,0.683,100,100,1.0,111,150,146,49.1,2.04,268.8,485.6,3.68,-58.2,4.3,-57.1,2.5,1.81,1.71,8.05,8.24,27,4,2,1,3
3.0,132,,,c90 d=3 soak,1785288050612,1785288110614,88,80.0,0.933,100,100,1.0,123,176,156,55.1,1.82,239.8,419.3,3.18,-57.5,4.0,-57.8,3.3,1.63,1.54,1.8,2.68,28,4,2,1,0
